ŝprucaĵo	ŝpruc'aĵ'o
ŝprucanta	ŝpruc'ant'a
ŝprucante	ŝpruc'ant'e
ŝprucetado	ŝpruc'et'ad'o
ŝprucfontoj	ŝpruc'font'o'j
ŝprucigas	ŝpruc'ig'as
ŝprucigi	ŝpruc'ig'i
ŝprucigis	ŝpruc'ig'is
ŝprucigado	ŝpruc'ig'ad'o
ŝprucita	ŝpruc'it'a
ŝprucitaj	ŝpruc'it'a'j
ŝramanoj	ŝraman'o'j
ŝranko	ŝrank'o
ŝrankoj	ŝrank'o'j
ŝrankojn	ŝrank'o'j'n
ŝrankon	ŝrank'o'n
ŝranketo	ŝrank'et'o
ŝranketon	ŝrank'et'o'n
ŝrapnelo	ŝrapnel'o
ŝraŭbo	ŝraŭb'o
ŝraŭboj	ŝraŭb'o'j
ŝraŭbojn	ŝraŭb'o'j'n
ŝraŭbon	ŝraŭb'o'n
ŝraŭbaĵo	ŝraŭb'aĵ'o
ŝraŭbilo	ŝraŭb'il'o
ŝraŭbilon	ŝraŭb'il'o'n
ŝriko	ŝrik'o
ŝrumpa	ŝrump'a
ŝrumpas	ŝrump'as
ŝrumpi	ŝrump'i
ŝrumpis	ŝrump'is
ŝrumpos	ŝrump'os
ŝrumpado	ŝrump'ad'o
ŝrumpadon	ŝrump'ad'o'n
ŝrumpiĝo	ŝrump'iĝ'o
ŝrumpinta	ŝrump'int'a
ŝrumpintaj	ŝrump'int'a'j
ŝtala	ŝtal'a
ŝtalaj	ŝtal'a'j
ŝtalajn	ŝtal'a'j'n
ŝtalan	ŝtal'a'n
ŝtalo	ŝtal'o
ŝtaloj	ŝtal'o'j
ŝtalon	ŝtal'o'n
ŝtalbetono	ŝtal'beton'o
ŝtalindustrio	ŝtal'industri'o
ŝtalproduktado	ŝtal'produkt'ad'o
ŝtata	ŝtat'a
ŝtataj	ŝtat'a'j
ŝtatajn	ŝtat'a'j'n
ŝtatan	ŝtat'a'n
ŝtate	ŝtat'e
ŝtato	ŝtat'o
ŝtatoj	ŝtat'o'j
ŝtatojn	ŝtat'o'j'n
ŝtaton	ŝtat'o'n
ŝtatadministrado	ŝtat'administr'ad'o
ŝtataferoj	ŝtat'afer'o'j
ŝtatagentejoj	ŝtat'agent'ej'o'j
ŝtatakuzanto	ŝtat'akuz'ant'o
ŝtatano	ŝtat'an'o
ŝtatanoj	ŝtat'an'o'j
ŝtatanojn	ŝtat'an'o'j'n
ŝtatanon	ŝtat'an'o'n
ŝtataneco	ŝtat'an'ec'o
ŝtatanecon	ŝtat'an'ec'o'n
ŝtateco	ŝtat'ec'o
ŝtatekonomio	ŝtat'ekonomi'o
ŝtatenmiksiĝo	ŝtat'en'miks'iĝ'o
ŝtatestro	ŝtat'estr'o
ŝtatestroj	ŝtat'estr'o'j
ŝtatestrojn	ŝtat'estr'o'j'n
ŝtatestron	ŝtat'estr'o'n
ŝtateto	ŝtat'et'o
ŝtatetoj	ŝtat'et'o'j
ŝtatformo	ŝtat'form'o
ŝtatgvidantoj	ŝtat'gvid'ant'o'j
ŝtatigo	ŝtat'ig'o
ŝtatigon	ŝtat'ig'o'n
ŝtatiĝo	ŝtat'iĝ'o
ŝtatiĝon	ŝtat'iĝ'o'n
